S. No.,Date_Received,Message_body,Label
1,09-01-21,Rofl. Its true to its name,Non-Spam
2,24-03-21,The guy did some bitching but I acted like i'd be interested in buying something else next week and he gave it to us for free,Non-Spam
3,02-10-21,"Pity, * was in mood for that. So...any other suggestions?",Non-Spam
4,11-04-21,Will ü b going to esplanade fr home?,Non-Spam
5,22-09-21,"This is the 2nd time we have tried 2 contact u. U have won the £750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.",Spam
6,10-02-21,"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode",Spam
7,04-01-21,Huh y lei...,Non-Spam
8,13-02-21,Why don't you wait 'til at least wednesday to see if you get your .,Non-Spam
9,10-09-21,Ard 6 like dat lor.,Non-Spam
10,08-12-21,Ok lor... Sony ericsson salesman... I ask shuhui then she say quite gd 2 use so i considering...,Non-Spam
11,16-04-21,Get me out of this dump heap. My mom decided to come to lowes. BORING.,Non-Spam
12,12-08-21,Anything lor. Juz both of us lor.,Non-Spam
13,04-05-21,if you aren't here in the next  &lt;#&gt;  hours imma flip my shit,Non-Spam
14,23-02-21,"Sorry, I'll call later",Non-Spam
15,17-05-21,No. I meant the calculation is the same. That  &lt;#&gt; units at  &lt;#&gt; . This school is really expensive. Have you started practicing your accent. Because its important. And have you decided if you are doing 4years of dental school or if you'll just do the nmde exam.,Non-Spam
16,13-03-21,Yes i have. So that's why u texted. Pshew...missing you so much,Non-Spam
17,27-08-21,Yeh. Indians was nice. Tho it did kane me off a bit he he. We shud go out 4 a drink sometime soon. Mite hav 2 go 2 da works 4 a laugh soon. Love Pete x x,Non-Spam
18,04-06-21,Well keep in mind I've only got enough gas for one more round trip barring a sudden influx of cash,Non-Spam
19,02-02-21,Hahaha..use your brain dear,Non-Spam
20,22-04-21,Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with,Non-Spam
21,11-08-21,Wen did you get so spiritual and deep. That's great,Non-Spam
22,28-12-21,"Cool, what time you think you can get here?",Non-Spam
23,26-09-21,"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs",Non-Spam
24,21-10-21,"No, I was trying it all weekend ;V",Non-Spam
25,06-05-21,Ic. There are a lotta childporn cars then.,Non-Spam
26,28-02-21,Hi its in durban are you still on this number,Non-Spam
27,25-01-21,"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready",Non-Spam
28,23-10-21,U still havent got urself a jacket ah?,Non-Spam
29,06-01-21,Armand says get your ass over to epsilon,Non-Spam
30,14-01-21,Yeah it's jus rite...,Non-Spam
31,06-03-21,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O £250 3 WANT £800,Spam
32,29-03-21,Just sleeping..and surfing,Non-Spam
33,23-07-21,I can't believe how attached I am to seeing you every day. I know you will do the best you can to get to me babe. I will go to teach my class at your midnight,Non-Spam
34,01-02-21,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX,Spam
35,26-12-21,Aiyah ok wat as long as got improve can already wat...,Non-Spam
36,19-02-21,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",Non-Spam
37,28-10-21,Ok which your another number,Non-Spam
38,21-11-21,"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. ",Non-Spam
39,12-06-21,happened here while you were adventuring,Non-Spam
40,04-01-21,Compliments to you. Was away from the system. How your side.,Non-Spam
41,02-01-21,I think that tantrum's finished so yeah I'll be by at some point,Non-Spam
42,20-10-21,What about this one then.,Non-Spam
43,26-09-21,Its just the effect of irritation. Just ignore it,Non-Spam
44,11-03-21,"Total disappointment, when I texted you was the craziest shit got :(",Non-Spam
45,26-07-21,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04,Spam
46,15-08-21,I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs,Non-Spam
47,23-02-21,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99,Spam
48,26-06-21,Going to join tomorrow.,Non-Spam
49,21-01-21,Thats cool. I want to please you...,Non-Spam
50,19-05-21,You are a big chic. Common. Declare,Non-Spam
51,20-07-21,No. I dont want to hear anything,Non-Spam
52,06-08-21,Can you pls send me that company name. In saibaba colany,Non-Spam
53,02-12-21,"By the way, i've put a skip right outside the front of the house so you can see which house it is. Just pull up before it.",Non-Spam
54,08-07-21,Miles and smiles r made frm same letters but do u know d difference..? smile on ur face keeps me happy even though I am miles away from u.. :-)keep smiling.. Good nyt,Non-Spam
55,06-03-21,"Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards...",Non-Spam
56,08-04-21,You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.,Non-Spam
57,29-11-21,Oh... Okie lor...We go on sat... ,Non-Spam
58,12-01-21,Yes. Please leave at  &lt;#&gt; . So that at  &lt;#&gt;  we can leave,Non-Spam
59,10-12-21,"Just making dinner, you ?",Non-Spam
60,23-04-21,"It‘s reassuring, in this crazy world.",Non-Spam
61,28-02-21,I went to project centre,Non-Spam
62,26-11-21,Lol they were mad at first but then they woke up and gave in.,Non-Spam
63,30-01-21,"Machan you go to gym tomorrow,  i wil come late goodnight.",Non-Spam
64,10-02-21,I want to be inside you every night...,Non-Spam
65,01-04-21,God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8,Non-Spam
66,24-07-21,What i told before i tell. Stupid hear after i wont tell anything to you. You dad called to my brother and spoken. Not with me.,Non-Spam
67,21-02-21,Wait . I will msg after  &lt;#&gt;  min.,Non-Spam
68,08-05-21,"Perhaps * is much easy give your account identification, so i will tomorrow at UNI",Non-Spam
69,24-11-21,Apo all other are mokka players only,Non-Spam
